country_iso3,country_name,cluster,construct_id,construct_label,n,mean,sd,se,ci_lower,ci_upper,scale_min,scale_max
BGR,Bulgaria,Central-East,threat,Ideological threat,592,5.1714527027027035,1.5994116677823595,0.06697827176804409,5.028716216216215,5.2961641328828835,1,7
TUR,Turkey,Southern,threat,Ideological threat,599,4.924040066777964,1.4637731419523299,0.06082980989154674,4.80550918196995,5.041736227045075,1,7
POL,Poland,Central-East,threat,Ideological threat,600,4.444166666666667,1.6296909092386178,0.06822149143357396,4.315569444444444,4.575,1,7
LVA,Latvia,Baltic,threat,Ideological threat,596,4.322147651006711,1.660539373244522,0.0676384725049252,4.189045022371365,4.4577670581655475,1,7
LTU,Lithuania,Baltic,threat,Ideological threat,593,4.314502529510961,1.7572702640235187,0.07278660348812505,4.18156970207982,4.462591343451377,1,7
HUN,Hungary,Central-East,threat,Ideological threat,599,4.237061769616027,1.6119522370631152,0.06759451281999149,4.109084585420145,4.372001947690596,1,7
ITA,Italy,Southern,threat,Ideological threat,606,4.190594059405941,1.4285960201046575,0.0578460407737915,4.083072057205721,4.309124037403739,1,7
DEU,Germany,Western,threat,Ideological threat,598,4.157190635451504,1.596018958647129,0.06660031563314546,4.028713768115942,4.2842809364548495,1,7
AUT,Austria,Western,threat,Ideological threat,599,4.151919866444073,1.6487936667275211,0.06598635421786404,4.013925987757374,4.2785127991096275,1,7
FRA,France,Western,threat,Ideological threat,596,4.123322147651007,1.3999914898586783,0.05682344965531586,4.011479306487695,4.2329348434004475,1,7
BEL,Belgium,Western,threat,Ideological threat,595,4.116806722689075,1.4981087587866848,0.06128015068217094,3.9946918767507,4.232485994397758,1,7
EST,Estonia,Baltic,threat,Ideological threat,604,3.8344370860927155,1.823898703859151,0.07475550782151776,3.7003518211920534,3.9790217991169974,1,7
